uniqueID,site,year,block,row,treat,seedl_nr,height,diam_mm,damage,percentDebark,mort_date,mort_binar,notes,waxHeight_cm,rootCol,waxQual,origNotes,mort2,uniqueIDYear,unIDyearSite,transDamage.x.t,transDamage.x
B10R3wax FS6,clearcut,2019,10,3,wax F,6,54,10.8,110,30,0,0,alive,0,,2,alive,0,B10R3wax FS6_2019,B10R3wax FS6_2019_clearcut,0.464609481,110
B10R3wax FS6,clearcut,2020,10,3,wax F,6,68,13.9,0,0,0,0,alive,0,,3,alive,0,B10R3wax FS6_2020,B10R3wax FS6_2020_clearcut,-0.593674658,0
B10R3wax FS7,clearcut,2018,10,3,wax F,7,44,8.3,0,0,0,0,alive,0,,0,alive,0,B10R3wax FS7_2018,B10R3wax FS7_2018_clearcut,-0.593674658,0
B10R3wax FS7,clearcut,2019,10,3,wax F,7,47,8.2,30,10,0,0,alive,0,,2,alive,0,B10R3wax FS7_2019,B10R3wax FS7_2019_clearcut,-0.041003791,30
B10R3wax FS7,clearcut,2020,10,3,wax F,7,59,9.2,0,0,0,0,alive,0,,2,alive,0,B10R3wax FS7_2020,B10R3wax FS7_2020_clearcut,-0.593674658,0
B10R3wax FS8,clearcut,2018,10,3,wax F,8,60,11,0,0,0,0,alive,0,,1,alive,0,B10R3wax FS8_2018,B10R3wax FS8_2018_clearcut,-0.593674658,0
B10R3wax FS8,clearcut,2019,10,3,wax F,8,70,14.1,10,10,0,0,alive,0,,4,alive,0,B10R3wax FS8_2019,B10R3wax FS8_2019_clearcut,-0.274589984,10
B10R3wax FS8,clearcut,2020,10,3,wax F,8,96,19.6,0,0,0,0,alive,0,,3,alive,0,B10R3wax FS8_2020,B10R3wax FS8_2020_clearcut,-0.593674658,0
B10R3wax FS9,clearcut,2018,10,3,wax F,9,57,9.5,0,0,0,0,alive,0,,0,alive,0,B10R3wax FS9_2018,B10R3wax FS9_2018_clearcut,-0.593674658,0
B10R3wax FS9,clearcut,2019,10,3,wax F,9,67,15.7,0,0,0,0,alive,0,,3,alive,0,B10R3wax FS9_2019,B10R3wax FS9_2019_clearcut,-0.593674658,0
B10R3wax FS9,clearcut,2020,10,3,wax F,9,89,19.4,0,0,0,0,alive,0,,3,alive,0,B10R3wax FS9_2020,B10R3wax FS9_2020_clearcut,-0.593674658,0
B10R4wax CS1,clearcut,2018,10,4,wax C,1,53,9.3,0,0,0,0,alive,0,,1,terminal,0,B10R4wax CS1_2018,B10R4wax CS1_2018_clearcut,-0.593674658,0
B10R4wax CS1,clearcut,2019,10,4,wax C,1,54,8.2,500,40,0,0,alive,0,,2,alive,0,B10R4wax CS1_2019,B10R4wax CS1_2019_clearcut,1.662594706,500
B10R4wax CS1,clearcut,2020,10,4,wax C,1,0,0,600,0,2020,1,Hylobius,0,,4,Hylobius,1,B10R4wax CS1_2020,B10R4wax CS1_2020_clearcut,1.877944595,600
B10R4wax CS10,clearcut,2018,10,4,wax C,10,0,0,0,0,2018,1,other,0,,0,other,1,B10R4wax CS10_2018,B10R4wax CS10_2018_clearcut,-0.593674658,0
B10R4wax CS2,clearcut,2018,10,4,wax C,2,71,14.5,0,0,0,0,alive,0,,0,terminal,0,B10R4wax CS2_2018,B10R4wax CS2_2018_clearcut,-0.593674658,0
B10R4wax CS2,clearcut,2019,10,4,wax C,2,73,14,300,20,0,0,alive,0,,1,alive,0,B10R4wax CS2_2019,B10R4wax CS2_2019_clearcut,1.154024077,300
B10R4wax CS2,clearcut,2020,10,4,wax C,2,96,23.9,0,0,0,0,alive,0,,2,alive,0,B10R4wax CS2_2020,B10R4wax CS2_2020_clearcut,-0.593674658,0
B10R4wax CS3,clearcut,2018,10,4,wax C,3,42,7.1,0,0,0,0,alive,0,,1,alive,0,B10R4wax CS3_2018,B10R4wax CS3_2018_clearcut,-0.593674658,0
B10R4wax CS3,clearcut,2019,10,4,wax C,3,53,9.8,250,30,0,0,alive,0,,3,alive,0,B10R4wax CS3_2019,B10R4wax CS3_2019_clearcut,1.00174871,250
B10R4wax CS3,clearcut,2020,10,4,wax C,3,68,16.2,150,0,0,0,alive,0,,4,alive,0,B10R4wax CS3_2020,B10R4wax CS3_2020_clearcut,0.642134969,150
B10R4wax CS4,clearcut,2018,10,4,wax C,4,0,0,0,0,2018,1,other,0,,0,human,1,B10R4wax CS4_2018,B10R4wax CS4_2018_clearcut,-0.593674658,0
B10R4wax CS5,clearcut,2018,10,4,wax C,5,25,4.2,30,10,0,0,alive,0,,2,alive,0,B10R4wax CS5_2018,B10R4wax CS5_2018_clearcut,-0.041003791,30
B10R4wax CS5,clearcut,2019,10,4,wax C,5,0,0,0,0,2019,1,other,0,,0,other,1,B10R4wax CS5_2019,B10R4wax CS5_2019_clearcut,-0.593674658,0
B10R4wax CS6,clearcut,2018,10,4,wax C,6,56,10.1,0,0,0,0,alive,0,,1,terminal,0,B10R4wax CS6_2018,B10R4wax CS6_2018_clearcut,-0.593674658,0
B10R4wax CS6,clearcut,2019,10,4,wax C,6,0,0,0,0,2019,1,other,0,,0,other,1,B10R4wax CS6_2019,B10R4wax CS6_2019_clearcut,-0.593674658,0
B10R4wax CS7,clearcut,2018,10,4,wax C,7,0,0,0,0,2018,1,other,0,,1,human,1,B10R4wax CS7_2018,B10R4wax CS7_2018_clearcut,-0.593674658,0
B10R4wax CS8,clearcut,2018,10,4,wax C,8,35,6.4,30,10,0,0,alive,0,,1,alive,0,B10R4wax CS8_2018,B10R4wax CS8_2018_clearcut,-0.041003791,30
B10R4wax CS8,clearcut,2019,10,4,wax C,8,31,9.2,40,10,0,0,alive,0,,2,alive,0,B10R4wax CS8_2019,B10R4wax CS8_2019_clearcut,0.044494689,40
B10R4wax CS8,clearcut,2020,10,4,wax C,8,50,9.3,90,0,0,0,alive,0,,4,alive,0,B10R4wax CS8_2020,B10R4wax CS8_2020_clearcut,0.363579363,90
B10R4wax CS9,clearcut,2018,10,4,wax C,9,0,0,0,0,2018,1,Hylastes,0,,0,Hylastes,1,B10R4wax CS9_2018,B10R4wax CS9_2018_clearcut,-0.593674658,0
B10R5glueS1,clearcut,2018,10,5,glue,1,34,7.6,0,0,0,0,alive,0,,0,alive,0,B10R5glueS1_2018,B10R5glueS1_2018_clearcut,-0.593674658,0
B10R5glueS1,clearcut,2019,10,5,glue,1,39,12.4,0,0,0,0,alive,0,,0,alive,0,B10R5glueS1_2019,B10R5glueS1_2019_clearcut,-0.593674658,0
B10R5glueS1,clearcut,2020,10,5,glue,1,51,18,0,0,0,0,alive,0,,0,alive,0,B10R5glueS1_2020,B10R5glueS1_2020_clearcut,-0.593674658,0
B10R5glueS10,clearcut,2018,10,5,glue,10,0,0,0,0,2018,1,other,0,,0,other,1,B10R5glueS10_2018,B10R5glueS10_2018_clearcut,-0.593674658,0
B10R5glueS2,clearcut,2018,10,5,glue,2,50,8.5,0,0,0,0,alive,0,,0,terminal,0,B10R5glueS2_2018,B10R5glueS2_2018_clearcut,-0.593674658,0
B10R5glueS2,clearcut,2019,10,5,glue,2,0,0,0,0,2019,1,Hylastes,0,,0,Hylastes,1,B10R5glueS2_2019,B10R5glueS2_2019_clearcut,-0.593674658,0
B10R5glueS3,clearcut,2018,10,5,glue,3,0,0,0,0,2018,1,other,0,,0,other,1,B10R5glueS3_2018,B10R5glueS3_2018_clearcut,-0.593674658,0
B10R5glueS4,clearcut,2018,10,5,glue,4,19,3.3,0,0,0,0,alive,0,,0,alive,0,B10R5glueS4_2018,B10R5glueS4_2018_clearcut,-0.593674658,0
B10R5glueS4,clearcut,2019,10,5,glue,4,0,0,0,0,2019,1,other,0,,0,other,1,B10R5glueS4_2019,B10R5glueS4_2019_clearcut,-0.593674658,0
B10R5glueS5,clearcut,2018,10,5,glue,5,0,0,0,0,2018,1,Hylastes,0,,0,Hylastes,1,B10R5glueS5_2018,B10R5glueS5_2018_clearcut,-0.593674658,0
B10R5glueS6,clearcut,2018,10,5,glue,6,38,5.6,0,0,0,0,alive,0,,0,alive,0,B10R5glueS6_2018,B10R5glueS6_2018_clearcut,-0.593674658,0
B10R5glueS6,clearcut,2019,10,5,glue,6,41,5.6,0,0,0,0,alive,0,,0,alive,0,B10R5glueS6_2019,B10R5glueS6_2019_clearcut,-0.593674658,0
B10R5glueS6,clearcut,2020,10,5,glue,6,50,7.5,0,0,0,0,alive,0,,0,alive,0,B10R5glueS6_2020,B10R5glueS6_2020_clearcut,-0.593674658,0
B10R5glueS7,clearcut,2018,10,5,glue,7,33,4,0,0,0,0,alive,0,,0,alive,0,B10R5glueS7_2018,B10R5glueS7_2018_clearcut,-0.593674658,0
B10R5glueS7,clearcut,2019,10,5,glue,7,38,5.7,0,0,0,0,alive,0,,0,alive,0,B10R5glueS7_2019,B10R5glueS7_2019_clearcut,-0.593674658,0
B10R5glueS7,clearcut,2020,10,5,glue,7,48,9.8,0,0,0,0,alive,0,,0,alive,0,B10R5glueS7_2020,B10R5glueS7_2020_clearcut,-0.593674658,0
B10R5glueS8,clearcut,2018,10,5,glue,8,37,6.9,0,0,0,0,alive,0,,0,alive,0,B10R5glueS8_2018,B10R5glueS8_2018_clearcut,-0.593674658,0
B10R5glueS8,clearcut,2019,10,5,glue,8,40,12,0,0,0,0,alive,0,,0,alive,0,B10R5glueS8_2019,B10R5glueS8_2019_clearcut,-0.593674658,0
B10R5glueS8,clearcut,2020,10,5,glue,8,49,10.4,0,0,0,0,alive,0,,0,terminal,0,B10R5glueS8_2020,B10R5glueS8_2020_clearcut,-0.593674658,0
B10R5glueS9,clearcut,2018,10,5,glue,9,0,0,0,0,2018,1,other,0,,0,other,1,B10R5glueS9_2018,B10R5glueS9_2018_clearcut,-0.593674658,0
B10R6controlS1,clearcut,2018,10,6,control,1,0,0,0,0,2018,1,other,0,,0,other,1,B10R6controlS1_2018,B10R6controlS1_2018_clearcut,-0.593674658,0
B10R6controlS10,clearcut,2018,10,6,control,10,41,6.5,0,0,0,0,alive,0,,0,alive,0,B10R6controlS10_2018,B10R6controlS10_2018_clearcut,-0.593674658,0
B10R6controlS10,clearcut,2019,10,6,control,10,50,6.6,10,10,0,0,alive,0,,0,alive,0,B10R6controlS10_2019,B10R6controlS10_2019_clearcut,-0.274589984,10
B10R6controlS10,clearcut,2020,10,6,control,10,57,9.7,160,0,0,0,alive,0,,0,terminal,0,B10R6controlS10_2020,B10R6controlS10_2020_clearcut,0.682664036,160
B10R6controlS2,clearcut,2018,10,6,control,2,0,0,500,100,2018,1,Hylobius,0,,0,Hylobius,1,B10R6controlS2_2018,B10R6controlS2_2018_clearcut,1.662594706,500
B10R6controlS3,clearcut,2018,10,6,control,3,0,0,950,100,2018,1,Hylobius,0,,0,Hylobius,1,B10R6controlS3_2018,B10R6controlS3_2018_clearcut,2.516378033,950
B10R6controlS4,clearcut,2018,10,6,control,4,0,0,250,100,2018,1,Hylobius,0,,0,Hylobius,1,B10R6controlS4_2018,B10R6controlS4_2018_clearcut,1.00174871,250
B10R6controlS5,clearcut,2018,10,6,control,5,40,5.6,300,50,0,0,alive,0,,0,alive,0,B10R6controlS5_2018,B10R6controlS5_2018_clearcut,1.154024077,300
B10R6controlS5,clearcut,2019,10,6,control,5,45,8.7,130,40,0,0,alive,0,,0,alive,0,B10R6controlS5_2019,B10R6controlS5_2019_clearcut,0.556801494,130
B10R6controlS5,clearcut,2020,10,6,control,5,45,8.5,400,0,0,0,alive,0,,0,alive,0,B10R6controlS5_2020,B10R6controlS5_2020_clearcut,1.424394012,400
B10R6controlS6,clearcut,2018,10,6,control,6,32,4.2,0,0,0,0,alive,0,,0,alive,0,B10R6controlS6_2018,B10R6controlS6_2018_clearcut,-0.593674658,0
B10R6controlS6,clearcut,2019,10,6,control,6,33,5.2,40,10,0,0,alive,0,,0,alive,0,B10R6controlS6_2019,B10R6controlS6_2019_clearcut,0.044494689,40
B10R6controlS6,clearcut,2020,10,6,control,6,65,9.2,0,0,0,0,alive,0,,0,alive,0,B10R6controlS6_2020,B10R6controlS6_2020_clearcut,-0.593674658,0
B10R6controlS7,clearcut,2018,10,6,control,7,52,8.3,0,0,0,0,alive,0,,0,alive,0,B10R6controlS7_2018,B10R6controlS7_2018_clearcut,-0.593674658,0
B10R6controlS7,clearcut,2019,10,6,control,7,60,9.8,80,40,0,0,alive,0,,0,alive,0,B10R6controlS7_2019,B10R6controlS7_2019_clearcut,0.308833088,80
B10R6controlS7,clearcut,2020,10,6,control,7,64,16.2,100,0,0,0,alive,0,,0,alive,0,B10R6controlS7_2020,B10R6controlS7_2020_clearcut,0.415359677,100
B10R6controlS8,clearcut,2018,10,6,control,8,0,0,200,40,2018,1,Hylobius,0,,0,Hylobius,1,B10R6controlS8_2018,B10R6controlS8_2018_clearcut,0.833315383,200
B10R6controlS9,clearcut,2018,10,6,control,9,25,5.5,0,0,0,0,alive,0,,0,alive,0,B10R6controlS9_2018,B10R6controlS9_2018_clearcut,-0.593674658,0
B10R6controlS9,clearcut,2019,10,6,control,9,33,6.1,440,90,0,0,alive,0,,0,alive,0,B10R6controlS9_2019,B10R6controlS9_2019_clearcut,1.522893619,440
B10R6controlS9,clearcut,2020,10,6,control,9,0,0,1200,0,2020,1,Hylobius,0,,0,Hylobius,1,B10R6controlS9_2020,B10R6controlS9_2020_clearcut,2.901722811,1200
B1R1controlS1,clearcut,2018,1,1,control,1,65,10.9,110,30,0,0,alive,0,,0,alive,0,B1R1controlS1_2018,B1R1controlS1_2018_clearcut,0.464609481,110
B1R1controlS1,clearcut,2019,1,1,control,1,56,13.9,1200,100,0,0,alive,0,,0,alive,0,B1R1controlS1_2019,B1R1controlS1_2019_clearcut,2.901722811,1200
B1R1controlS1,clearcut,2020,1,1,control,1,65,17.3,2500,0,0,0,alive,0,,0,terminal,0,B1R1controlS1_2020,B1R1controlS1_2020_clearcut,4.451497016,2500
B1R1controlS10,clearcut,2018,1,1,control,10,25,5.1,0,0,0,0,alive,0,,0,alive,0,B1R1controlS10_2018,B1R1controlS10_2018_clearcut,-0.593674658,0
B1R1controlS10,clearcut,2019,1,1,control,10,38,7.9,480,100,0,0,alive,0,,0,alive,0,B1R1controlS10_2019,B1R1controlS10_2019_clearcut,1.617008808,480
B1R1controlS10,clearcut,2020,1,1,control,10,47,13.8,150,0,0,0,alive,0,,0,terminal,0,B1R1controlS10_2020,B1R1controlS10_2020_clearcut,0.642134969,150
B1R1controlS2,clearcut,2018,1,1,control,2,27,4.5,20,10,0,0,alive,0,,0,alive,0,B1R1controlS2_2018,B1R1controlS2_2018_clearcut,-0.142420785,20
B1R1controlS2,clearcut,2019,1,1,control,2,0,0,250,100,2019,1,Hylobius,0,,0,Hylobius,1,B1R1controlS2_2019,B1R1controlS2_2019_clearcut,1.00174871,250
B1R1controlS3,clearcut,2018,1,1,control,3,0,0,720,100,2018,1,Hylobius,0,,0,Hylobius,1,B1R1controlS3_2018,B1R1controlS3_2018_clearcut,2.113848579,720
B1R1controlS4,clearcut,2018,1,1,control,4,0,0,10,10,2018,1,other,0,,0,human,1,B1R1controlS4_2018,B1R1controlS4_2018_clearcut,-0.274589984,10
B1R1controlS5,clearcut,2018,1,1,control,5,0,0,0,0,2018,1,Hylastes,0,,0,Hylastes,1,B1R1controlS5_2018,B1R1controlS5_2018_clearcut,-0.593674658,0
B1R1controlS6,clearcut,2018,1,1,control,6,0,0,240,100,2018,1,Hylobius,0,,0,Hylobius,1,B1R1controlS6_2018,B1R1controlS6_2018_clearcut,0.969514612,240
B1R1controlS7,clearcut,2018,1,1,control,7,0,0,0,0,2018,1,other,0,,0,other,1,B1R1controlS7_2018,B1R1controlS7_2018_clearcut,-0.593674658,0
B1R1controlS8,clearcut,2018,1,1,control,8,0,0,180,100,2018,1,Hylobius,0,,0,Hylobius,1,B1R1controlS8_2018,B1R1controlS8_2018_clearcut,0.760086961,180
B1R1controlS9,clearcut,2018,1,1,control,9,0,0,430,100,2018,1,Hylobius,0,,0,Hylobius,1,B1R1controlS9_2018,B1R1controlS9_2018_clearcut,1.498703473,430
B1R2chemicalS1,clearcut,2018,1,2,chemical,1,27,5.4,0,0,0,0,alive,0,,0,alive,0,B1R2chemicalS1_2018,B1R2chemicalS1_2018_clearcut,-0.593674658,0
B1R2chemicalS1,clearcut,2019,1,2,chemical,1,27,5.3,130,40,0,0,alive,0,,0,alive,0,B1R2chemicalS1_2019,B1R2chemicalS1_2019_clearcut,0.556801494,130
B1R2chemicalS1,clearcut,2020,1,2,chemical,1,42,9.8,150,0,0,0,alive,0,,0,alive,0,B1R2chemicalS1_2020,B1R2chemicalS1_2020_clearcut,0.642134969,150
B1R2chemicalS10,clearcut,2018,1,2,chemical,10,39,5.3,0,0,0,0,alive,0,,0,alive,0,B1R2chemicalS10_2018,B1R2chemicalS10_2018_clearcut,-0.593674658,0
B1R2chemicalS10,clearcut,2019,1,2,chemical,10,0,0,0,0,2019,1,other,0,,0,human,1,B1R2chemicalS10_2019,B1R2chemicalS10_2019_clearcut,-0.593674658,0
B1R2chemicalS2,clearcut,2018,1,2,chemical,2,54.5,8.5,0,0,0,0,alive,0,,0,alive,0,B1R2chemicalS2_2018,B1R2chemicalS2_2018_clearcut,-0.593674658,0
B1R2chemicalS2,clearcut,2019,1,2,chemical,2,57,10.3,0,0,0,0,alive,0,,0,alive,0,B1R2chemicalS2_2019,B1R2chemicalS2_2019_clearcut,-0.593674658,0
B1R2chemicalS2,clearcut,2020,1,2,chemical,2,79,15.8,0,0,0,0,alive,0,,0,alive,0,B1R2chemicalS2_2020,B1R2chemicalS2_2020_clearcut,-0.593674658,0
B1R2chemicalS3,clearcut,2018,1,2,chemical,3,0,0,0,0,2018,1,other,0,,0,human,1,B1R2chemicalS3_2018,B1R2chemicalS3_2018_clearcut,-0.593674658,0
