unIDyearSite,uniqueIDYear,uniqueID,site,year,block,row,treat,seedl_nr,height,diam_mm,dateYear,mort_date,notes,mortality,mort_binar,waxQual,damage,percentDebark,waxHeight_cm,rootCol,origNotes,mort2,rank
B10R1_collarS_8_2019_nursery,B10R1_collarS_8_2019,B10R1_collarS_8,nursery,2019,10,1,collar,8,82,15,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_8_2020_nursery,B10R1_collarS_8_2020,B10R1_collarS_8,nursery,2020,10,1,collar,8,96,25.8,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_9_2018_nursery,B10R1_collarS_9_2018,B10R1_collarS_9,nursery,2018,10,1,collar,9,60,8.3,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_9_2019_nursery,B10R1_collarS_9_2019,B10R1_collarS_9,nursery,2019,10,1,collar,9,66,13.4,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R1_collarS_9_2020_nursery,B10R1_collarS_9_2020,B10R1_collarS_9,nursery,2020,10,1,collar,9,89,20.5,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_1_2018_nursery,B10R2_controlS_1_2018,B10R2_controlS_1,nursery,2018,10,2,control,1,63,12.1,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_1_2019_nursery,B10R2_controlS_1_2019,B10R2_controlS_1,nursery,2019,10,2,control,1,67,16.5,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_1_2020_nursery,B10R2_controlS_1_2020,B10R2_controlS_1,nursery,2020,10,2,control,1,82,22.6,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_10_2018_nursery,B10R2_controlS_10_2018,B10R2_controlS_10,nursery,2018,10,2,control,10,57,8.6,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_10_2019_nursery,B10R2_controlS_10_2019,B10R2_controlS_10,nursery,2019,10,2,control,10,60,11.9,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_10_2020_nursery,B10R2_controlS_10_2020,B10R2_controlS_10,nursery,2020,10,2,control,10,78,19.1,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_2_2018_nursery,B10R2_controlS_2_2018,B10R2_controlS_2,nursery,2018,10,2,control,2,52,6.7,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_2_2019_nursery,B10R2_controlS_2_2019,B10R2_controlS_2,nursery,2019,10,2,control,2,61,12.7,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_2_2020_nursery,B10R2_controlS_2_2020,B10R2_controlS_2,nursery,2020,10,2,control,2,NA,NA,2020,2020,other,dead,1,NA,0,NA,NA,NA,dead,2020,NA
B10R2_controlS_3_2018_nursery,B10R2_controlS_3_2018,B10R2_controlS_3,nursery,2018,10,2,control,3,61,9.6,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_3_2019_nursery,B10R2_controlS_3_2019,B10R2_controlS_3,nursery,2019,10,2,control,3,73,17.2,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_3_2020_nursery,B10R2_controlS_3_2020,B10R2_controlS_3,nursery,2020,10,2,control,3,89,25,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_4_2018_nursery,B10R2_controlS_4_2018,B10R2_controlS_4,nursery,2018,10,2,control,4,70,9.4,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_4_2019_nursery,B10R2_controlS_4_2019,B10R2_controlS_4,nursery,2019,10,2,control,4,75,14.2,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_4_2020_nursery,B10R2_controlS_4_2020,B10R2_controlS_4,nursery,2020,10,2,control,4,94,22.4,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_5_2018_nursery,B10R2_controlS_5_2018,B10R2_controlS_5,nursery,2018,10,2,control,5,59,9.5,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_5_2019_nursery,B10R2_controlS_5_2019,B10R2_controlS_5,nursery,2019,10,2,control,5,64,9.8,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_5_2020_nursery,B10R2_controlS_5_2020,B10R2_controlS_5,nursery,2020,10,2,control,5,73,15,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_6_2018_nursery,B10R2_controlS_6_2018,B10R2_controlS_6,nursery,2018,10,2,control,6,56,7.4,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_6_2019_nursery,B10R2_controlS_6_2019,B10R2_controlS_6,nursery,2019,10,2,control,6,60,10.4,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_6_2020_nursery,B10R2_controlS_6_2020,B10R2_controlS_6,nursery,2020,10,2,control,6,83,18.9,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_7_2018_nursery,B10R2_controlS_7_2018,B10R2_controlS_7,nursery,2018,10,2,control,7,55,9.7,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_7_2019_nursery,B10R2_controlS_7_2019,B10R2_controlS_7,nursery,2019,10,2,control,7,62,14,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_7_2020_nursery,B10R2_controlS_7_2020,B10R2_controlS_7,nursery,2020,10,2,control,7,86,22.7,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_8_2018_nursery,B10R2_controlS_8_2018,B10R2_controlS_8,nursery,2018,10,2,control,8,58.5,8.6,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_8_2019_nursery,B10R2_controlS_8_2019,B10R2_controlS_8,nursery,2019,10,2,control,8,69,13.2,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_8_2020_nursery,B10R2_controlS_8_2020,B10R2_controlS_8,nursery,2020,10,2,control,8,81,21.9,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_9_2018_nursery,B10R2_controlS_9_2018,B10R2_controlS_9,nursery,2018,10,2,control,9,73.5,10.3,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_9_2019_nursery,B10R2_controlS_9_2019,B10R2_controlS_9,nursery,2019,10,2,control,9,79,13.3,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R2_controlS_9_2020_nursery,B10R2_controlS_9_2020,B10R2_controlS_9,nursery,2020,10,2,control,9,79,20.6,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R3_wax FS_1_2018_nursery,B10R3_wax FS_1_2018,B10R3_wax FS_1,nursery,2018,10,3,wax F,1,51,7.8,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B10R3_wax FS_1_2019_nursery,B10R3_wax FS_1_2019,B10R3_wax FS_1,nursery,2019,10,3,wax F,1,56,15,2019,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B10R3_wax FS_1_2020_nursery,B10R3_wax FS_1_2020,B10R3_wax FS_1,nursery,2020,10,3,wax F,1,78,16.5,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R3_wax FS_10_2018_nursery,B10R3_wax FS_10_2018,B10R3_wax FS_10,nursery,2018,10,3,wax F,10,41,9.1,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B10R3_wax FS_10_2019_nursery,B10R3_wax FS_10_2019,B10R3_wax FS_10,nursery,2019,10,3,wax F,10,44,8,2019,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B10R3_wax FS_10_2020_nursery,B10R3_wax FS_10_2020,B10R3_wax FS_10,nursery,2020,10,3,wax F,10,57,13,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R3_wax FS_2_2018_nursery,B10R3_wax FS_2_2018,B10R3_wax FS_2,nursery,2018,10,3,wax F,2,48,6.3,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B10R3_wax FS_2_2019_nursery,B10R3_wax FS_2_2019,B10R3_wax FS_2,nursery,2019,10,3,wax F,2,50,8.1,2019,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B10R3_wax FS_2_2020_nursery,B10R3_wax FS_2_2020,B10R3_wax FS_2,nursery,2020,10,3,wax F,2,60,11.3,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R3_wax FS_3_2018_nursery,B10R3_wax FS_3_2018,B10R3_wax FS_3,nursery,2018,10,3,wax F,3,43,6,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B10R3_wax FS_3_2019_nursery,B10R3_wax FS_3_2019,B10R3_wax FS_3,nursery,2019,10,3,wax F,3,44,12.9,2019,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B10R3_wax FS_3_2020_nursery,B10R3_wax FS_3_2020,B10R3_wax FS_3,nursery,2020,10,3,wax F,3,60,11.5,2020,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B10R3_wax FS_4_2018_nursery,B10R3_wax FS_4_2018,B10R3_wax FS_4,nursery,2018,10,3,wax F,4,42,6.6,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B10R3_wax FS_4_2019_nursery,B10R3_wax FS_4_2019,B10R3_wax FS_4,nursery,2019,10,3,wax F,4,44,13.2,2019,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B10R3_wax FS_4_2020_nursery,B10R3_wax FS_4_2020,B10R3_wax FS_4,nursery,2020,10,3,wax F,4,63,14.8,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R3_wax FS_5_2018_nursery,B10R3_wax FS_5_2018,B10R3_wax FS_5,nursery,2018,10,3,wax F,5,41,6.2,2018,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B10R3_wax FS_5_2019_nursery,B10R3_wax FS_5_2019,B10R3_wax FS_5,nursery,2019,10,3,wax F,5,23,6.4,2019,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R3_wax FS_5_2020_nursery,B10R3_wax FS_5_2020,B10R3_wax FS_5,nursery,2020,10,3,wax F,5,27,7.5,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R3_wax FS_6_2018_nursery,B10R3_wax FS_6_2018,B10R3_wax FS_6,nursery,2018,10,3,wax F,6,51,8.1,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B10R3_wax FS_6_2019_nursery,B10R3_wax FS_6_2019,B10R3_wax FS_6,nursery,2019,10,3,wax F,6,52,11.5,2019,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B10R3_wax FS_6_2020_nursery,B10R3_wax FS_6_2020,B10R3_wax FS_6,nursery,2020,10,3,wax F,6,70,15.6,2020,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B10R3_wax FS_7_2018_nursery,B10R3_wax FS_7_2018,B10R3_wax FS_7,nursery,2018,10,3,wax F,7,49,7.2,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B10R3_wax FS_7_2019_nursery,B10R3_wax FS_7_2019,B10R3_wax FS_7,nursery,2019,10,3,wax F,7,54,12.5,2019,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B10R3_wax FS_7_2020_nursery,B10R3_wax FS_7_2020,B10R3_wax FS_7,nursery,2020,10,3,wax F,7,77,16.6,2020,0,alive,alive,0,4,0,NA,NA,NA,alive,0,5
B10R3_wax FS_8_2018_nursery,B10R3_wax FS_8_2018,B10R3_wax FS_8,nursery,2018,10,3,wax F,8,48,9,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B10R3_wax FS_8_2019_nursery,B10R3_wax FS_8_2019,B10R3_wax FS_8,nursery,2019,10,3,wax F,8,52,17.2,2019,0,alive,alive,0,1,0,NA,NA,NA,alive,0,2
B10R3_wax FS_8_2020_nursery,B10R3_wax FS_8_2020,B10R3_wax FS_8,nursery,2020,10,3,wax F,8,62,23,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R3_wax FS_9_2018_nursery,B10R3_wax FS_9_2018,B10R3_wax FS_9,nursery,2018,10,3,wax F,9,48,11.1,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B10R3_wax FS_9_2019_nursery,B10R3_wax FS_9_2019,B10R3_wax FS_9,nursery,2019,10,3,wax F,9,50,13,2019,0,alive,alive,0,1,0,NA,NA,NA,alive,0,2
B10R3_wax FS_9_2020_nursery,B10R3_wax FS_9_2020,B10R3_wax FS_9,nursery,2020,10,3,wax F,9,65,17.2,2020,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B10R4_wax CS_1_2018_nursery,B10R4_wax CS_1_2018,B10R4_wax CS_1,nursery,2018,10,4,wax C,1,48,9.9,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B10R4_wax CS_1_2019_nursery,B10R4_wax CS_1_2019,B10R4_wax CS_1,nursery,2019,10,4,wax C,1,59,16.3,2019,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R4_wax CS_1_2020_nursery,B10R4_wax CS_1_2020,B10R4_wax CS_1,nursery,2020,10,4,wax C,1,106,29,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R4_wax CS_10_2018_nursery,B10R4_wax CS_10_2018,B10R4_wax CS_10,nursery,2018,10,4,wax C,10,NA,NA,2018,2018,human,dead,1,NA,0,NA,NA,NA,dead,2018,NA
B10R4_wax CS_2_2018_nursery,B10R4_wax CS_2_2018,B10R4_wax CS_2,nursery,2018,10,4,wax C,2,56,11.4,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B10R4_wax CS_2_2019_nursery,B10R4_wax CS_2_2019,B10R4_wax CS_2,nursery,2019,10,4,wax C,2,62,19.9,2019,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R4_wax CS_2_2020_nursery,B10R4_wax CS_2_2020,B10R4_wax CS_2,nursery,2020,10,4,wax C,2,81,26.2,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R4_wax CS_3_2018_nursery,B10R4_wax CS_3_2018,B10R4_wax CS_3,nursery,2018,10,4,wax C,3,42,8.9,2018,0,alive,alive,0,1,0,NA,NA,NA,alive,0,2
B10R4_wax CS_3_2019_nursery,B10R4_wax CS_3_2019,B10R4_wax CS_3,nursery,2019,10,4,wax C,3,47,14.3,2019,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R4_wax CS_3_2020_nursery,B10R4_wax CS_3_2020,B10R4_wax CS_3,nursery,2020,10,4,wax C,3,70,20.6,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R4_wax CS_4_2018_nursery,B10R4_wax CS_4_2018,B10R4_wax CS_4,nursery,2018,10,4,wax C,4,60,7.2,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B10R4_wax CS_4_2019_nursery,B10R4_wax CS_4_2019,B10R4_wax CS_4,nursery,2019,10,4,wax C,4,56,13.2,2019,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R4_wax CS_4_2020_nursery,B10R4_wax CS_4_2020,B10R4_wax CS_4,nursery,2020,10,4,wax C,4,85,22.7,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R4_wax CS_5_2018_nursery,B10R4_wax CS_5_2018,B10R4_wax CS_5,nursery,2018,10,4,wax C,5,NA,NA,2018,2018,other,dead,1,1,0,NA,NA,NA,dead,2018,2
B10R4_wax CS_6_2018_nursery,B10R4_wax CS_6_2018,B10R4_wax CS_6,nursery,2018,10,4,wax C,6,30,8.2,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B10R4_wax CS_6_2019_nursery,B10R4_wax CS_6_2019,B10R4_wax CS_6,nursery,2019,10,4,wax C,6,37,9.6,2019,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R4_wax CS_6_2020_nursery,B10R4_wax CS_6_2020,B10R4_wax CS_6,nursery,2020,10,4,wax C,6,48,22.9,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R4_wax CS_7_2018_nursery,B10R4_wax CS_7_2018,B10R4_wax CS_7,nursery,2018,10,4,wax C,7,31,7.9,2018,0,alive,alive,0,0,0,NA,NA,NA,alive,0,1
B10R4_wax CS_7_2019_nursery,B10R4_wax CS_7_2019,B10R4_wax CS_7,nursery,2019,10,4,wax C,7,40,10.8,2019,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B10R4_wax CS_7_2020_nursery,B10R4_wax CS_7_2020,B10R4_wax CS_7,nursery,2020,10,4,wax C,7,53,13.6,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R4_wax CS_8_2018_nursery,B10R4_wax CS_8_2018,B10R4_wax CS_8,nursery,2018,10,4,wax C,8,NA,NA,2018,2018,human,dead,1,NA,0,NA,NA,NA,dead,2018,NA
B10R4_wax CS_9_2018_nursery,B10R4_wax CS_9_2018,B10R4_wax CS_9,nursery,2018,10,4,wax C,9,49,10.8,2018,0,alive,alive,0,1,0,NA,NA,NA,alive,0,2
B10R4_wax CS_9_2019_nursery,B10R4_wax CS_9_2019,B10R4_wax CS_9,nursery,2019,10,4,wax C,9,57,13.3,2019,0,alive,alive,0,2,0,NA,NA,NA,alive,0,3
B10R4_wax CS_9_2020_nursery,B10R4_wax CS_9_2020,B10R4_wax CS_9,nursery,2020,10,4,wax C,9,51,10.7,2020,0,alive,alive,0,3,0,NA,NA,NA,alive,0,4
B10R5_chemicalS_1_2018_nursery,B10R5_chemicalS_1_2018,B10R5_chemicalS_1,nursery,2018,10,5,chemical,1,61.5,11.2,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_1_2019_nursery,B10R5_chemicalS_1_2019,B10R5_chemicalS_1,nursery,2019,10,5,chemical,1,66,17,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_1_2020_nursery,B10R5_chemicalS_1_2020,B10R5_chemicalS_1,nursery,2020,10,5,chemical,1,102,27.5,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_10_2018_nursery,B10R5_chemicalS_10_2018,B10R5_chemicalS_10,nursery,2018,10,5,chemical,10,52,12,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_10_2019_nursery,B10R5_chemicalS_10_2019,B10R5_chemicalS_10,nursery,2019,10,5,chemical,10,61,17,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_10_2020_nursery,B10R5_chemicalS_10_2020,B10R5_chemicalS_10,nursery,2020,10,5,chemical,10,84,22.6,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_2_2018_nursery,B10R5_chemicalS_2_2018,B10R5_chemicalS_2,nursery,2018,10,5,chemical,2,75,12.2,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_2_2019_nursery,B10R5_chemicalS_2_2019,B10R5_chemicalS_2,nursery,2019,10,5,chemical,2,77,19.6,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_2_2020_nursery,B10R5_chemicalS_2_2020,B10R5_chemicalS_2,nursery,2020,10,5,chemical,2,119,29,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_3_2018_nursery,B10R5_chemicalS_3_2018,B10R5_chemicalS_3,nursery,2018,10,5,chemical,3,58,8.7,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_3_2019_nursery,B10R5_chemicalS_3_2019,B10R5_chemicalS_3,nursery,2019,10,5,chemical,3,61,15.2,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_3_2020_nursery,B10R5_chemicalS_3_2020,B10R5_chemicalS_3,nursery,2020,10,5,chemical,3,100,20,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_4_2018_nursery,B10R5_chemicalS_4_2018,B10R5_chemicalS_4,nursery,2018,10,5,chemical,4,58,11.9,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_4_2019_nursery,B10R5_chemicalS_4_2019,B10R5_chemicalS_4,nursery,2019,10,5,chemical,4,70,22.7,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_4_2020_nursery,B10R5_chemicalS_4_2020,B10R5_chemicalS_4,nursery,2020,10,5,chemical,4,118,33.5,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_5_2018_nursery,B10R5_chemicalS_5_2018,B10R5_chemicalS_5,nursery,2018,10,5,chemical,5,57,11.5,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_5_2019_nursery,B10R5_chemicalS_5_2019,B10R5_chemicalS_5,nursery,2019,10,5,chemical,5,63,18.6,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_5_2020_nursery,B10R5_chemicalS_5_2020,B10R5_chemicalS_5,nursery,2020,10,5,chemical,5,97,22.4,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_6_2018_nursery,B10R5_chemicalS_6_2018,B10R5_chemicalS_6,nursery,2018,10,5,chemical,6,57.5,14.3,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_6_2019_nursery,B10R5_chemicalS_6_2019,B10R5_chemicalS_6,nursery,2019,10,5,chemical,6,64,20,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_6_2020_nursery,B10R5_chemicalS_6_2020,B10R5_chemicalS_6,nursery,2020,10,5,chemical,6,113,34.8,2020,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_7_2018_nursery,B10R5_chemicalS_7_2018,B10R5_chemicalS_7,nursery,2018,10,5,chemical,7,51.5,11.7,2018,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
B10R5_chemicalS_7_2019_nursery,B10R5_chemicalS_7_2019,B10R5_chemicalS_7,nursery,2019,10,5,chemical,7,65,17.6,2019,0,alive,alive,0,NA,0,NA,NA,NA,alive,0,NA
